markets,corrs,vols,mids,dates
ICLN_PBW,0.781622528,0.010952062,3,2017-01-31T00:00:00Z
ICLN_PBW,0.872258592,0.011726024,3,2017-02-28T00:00:00Z
ICLN_PBW,0.670168185,0.009116625,3,2017-03-31T00:00:00Z
ICLN_PBW,0.574389953,0.012750195,3,2017-04-28T00:00:00Z
ICLN_PBW,0.723234595,0.013559647,3,2017-05-31T00:00:00Z
ICLN_PBW,0.859322984,0.010496166,3,2017-06-30T00:00:00Z
ICLN_PBW,0.845926613,0.00956737,3,2017-07-31T00:00:00Z
ICLN_PBW,0.750981858,0.010381527,3,2017-08-31T00:00:00Z
ICLN_PBW,0.575281348,0.010022469,3,2017-09-29T00:00:00Z
ICLN_PBW,0.474487861,0.00881472,3,2017-10-31T00:00:00Z
ICLN_PBW,0.750953593,0.010464413,3,2017-11-30T00:00:00Z
ICLN_PBW,0.834062855,0.009865923,3,2017-12-29T00:00:00Z
ICLN_PBW,0.868185978,0.010282018,3,2018-01-31T00:00:00Z
ICLN_PBW,0.959919255,0.016409158,3,2018-02-28T00:00:00Z
ICLN_PBW,0.797193572,0.013395623,3,2018-03-29T00:00:00Z
ICLN_PBW,0.798183524,0.013044359,3,2018-04-30T00:00:00Z
ICLN_PBW,0.856203568,0.009859728,3,2018-05-31T00:00:00Z
ICLN_PBW,0.802342794,0.009172075,3,2018-06-29T00:00:00Z
ICLN_PBW,0.746831398,0.009286724,3,2018-07-31T00:00:00Z
ICLN_PBW,0.857376704,0.009577876,3,2018-08-31T00:00:00Z
ICLN_PBW,0.68721477,0.008428144,3,2018-09-28T00:00:00Z
ICLN_PBW,0.879081897,0.018210314,3,2018-10-31T00:00:00Z
ICLN_PBW,0.871523072,0.016701965,3,2018-11-30T00:00:00Z
ICLN_PBW,0.921005439,0.021063011,3,2018-12-31T00:00:00Z
ICLN_PBW,0.8146306,0.016548847,3,2019-01-31T00:00:00Z
ICLN_PBW,0.845546608,0.011824246,3,2019-02-28T00:00:00Z
ICLN_PBW,0.926598483,0.01564892,3,2019-03-29T00:00:00Z
ICLN_PBW,0.856880606,0.008369662,3,2019-04-30T00:00:00Z
ICLN_PBW,0.934573599,0.016521115,3,2019-05-31T00:00:00Z
ICLN_PBW,0.864001446,0.014398959,3,2019-06-28T00:00:00Z
ICLN_PBW,0.634823814,0.008028107,3,2019-07-31T00:00:00Z
ICLN_PBW,0.913357149,0.01904577,3,2019-08-30T00:00:00Z
ICLN_PBW,0.845165024,0.014693679,3,2019-09-30T00:00:00Z
ICLN_PBW,0.762427831,0.010414088,3,2019-10-31T00:00:00Z
ICLN_PBW,0.756535092,0.010721406,3,2019-11-29T00:00:00Z
ICLN_PBW,0.603360354,0.009153604,3,2019-12-31T00:00:00Z
ICLN_PBW,0.879509193,0.014833343,3,2020-01-31T00:00:00Z
ICLN_PBW,0.938414345,0.031061071,3,2020-02-28T00:00:00Z
ICLN_PBW,0.985061814,0.076250374,3,2020-03-31T00:00:00Z
ICLN_PBW,0.958923716,0.038076822,3,2020-04-30T00:00:00Z
ICLN_PBW,0.914142399,0.031034966,3,2020-05-29T00:00:00Z
ICLN_PBW,0.886214014,0.031408955,3,2020-06-30T00:00:00Z
ICLN_PBW,0.895096176,0.021366002,3,2020-07-31T00:00:00Z
ICLN_PBW,0.833987339,0.017363743,3,2020-08-31T00:00:00Z
ICLN_PBW,0.851826941,0.029870328,3,2020-09-30T00:00:00Z
ICLN_PBW,0.89058742,0.026133022,3,2020-10-30T00:00:00Z
ICLN_PBW,0.760835945,0.031789106,3,2020-11-30T00:00:00Z
ICLN_PBW,0.83838864,0.028822559,3,2020-12-31T00:00:00Z
ICLN_PBW,0.850758225,0.036431506,3,2021-01-29T00:00:00Z
ICLN_PBW,0.848355828,0.035552811,3,2021-02-26T00:00:00Z
ICLN_PBW,0.943100301,0.046596949,3,2021-03-31T00:00:00Z
ICLN_PBW,0.841323225,0.025243541,3,2021-04-30T00:00:00Z
ICLN_PBW,0.85006199,0.028386039,3,2021-05-28T00:00:00Z
ICLN_PBW,0.593427797,0.016394219,3,2021-06-30T00:00:00Z
ICLN_PBW,0.877266239,0.025206703,3,2021-07-30T00:00:00Z
ICLN_PBW,0.760565273,0.022122926,3,2021-08-31T00:00:00Z
ICLN_PBW,0.914808897,0.02016886,3,2021-09-30T00:00:00Z
ICLN_PBW,0.828197654,0.021994806,3,2021-10-29T00:00:00Z
ICLN_PBW,0.830587251,0.025215735,3,2021-11-30T00:00:00Z
ICLN_PBW,0.950091411,0.028633345,3,2021-12-31T00:00:00Z
ICLN_PBW,0.931726925,0.034276668,3,2022-01-31T00:00:00Z
ICLN_PBW,0.967726172,0.0390117,3,2022-02-25T00:00:00Z
